blockNumber,hash,from,to,value,gasLimit,gasUsed,from_op_0,to_op_0,intValue_op_0,symbol_op_0,usdPrice_op_0,type_op_0,from_op_1,to_op_1,intValue_op_1,symbol_op_1,usdPrice_op_1,type_op_1,from_op_2,to_op_2,intValue_op_2,symbol_op_2,usdPrice_op_2,type_op_2,from_op_3,to_op_3,intValue_op_3,symbol_op_3,usdPrice_op_3,type_op_3,from_op_4,to_op_4,intValue_op_4,symbol_op_4,usdPrice_op_4,type_op_4,from_op_5,to_op_5,intValue_op_5,symbol_op_5,usdPrice_op_5,type_op_5,from_op_6,to_op_6,intValue_op_6,symbol_op_6,usdPrice_op_6,type_op_6,from_op_7,to_op_7,intValue_op_7,symbol_op_7,usdPrice_op_7,type_op_7,from_op_8,to_op_8,intValue_op_8,symbol_op_8,usdPrice_op_8,type_op_8,from_op_9,to_op_9,intValue_op_9,symbol_op_9,usdPrice_op_9,type_op_9,from_op_10,to_op_10,intValue_op_10,symbol_op_10,usdPrice_op_10,type_op_10,from_op_11,to_op_11,intValue_op_11,symbol_op_11,usdPrice_op_11,type_op_11,from_op_12,to_op_12,intValue_op_12,symbol_op_12,usdPrice_op_12,type_op_12,from_op_13,to_op_13,intValue_op_13,symbol_op_13,usdPrice_op_13,type_op_13,from_op_14,to_op_14,intValue_op_14,symbol_op_14,usdPrice_op_14,type_op_14,from_op_15,to_op_15,intValue_op_15,symbol_op_15,usdPrice_op_15,type_op_15,from_op_16,to_op_16,intValue_op_16,symbol_op_16,usdPrice_op_16,type_op_16,from_op_17,to_op_17,intValue_op_17,symbol_op_17,usdPrice_op_17,type_op_17,from_op_18,to_op_18,intValue_op_18,symbol_op_18,type_op_18,usdPrice_op_18
11772334,0x28ffa04748c6d3a01c5f6d7b8f10d764e1c6501bc7b55ef9a7b7c09c2d05dda4,0x8f014e45a70e224c3eb6c2db8b77f72c5ee061e2,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0.0,377972,178346,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0x3c70f4faea49e50adc8305f2e1aa0ea326a54ffc,2e+18,WETH,1317.7239315982342,transfer,0x3c70f4faea49e50adc8305f2e1aa0ea326a54ffc,0xfb3cd0b8a5371fe93ef92e3988d30df7931e2820,2.5771799499983864e+20,INJ,9.322540919895005,transfer,0xfb3cd0b8a5371fe93ef92e3988d30df7931e2820,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,2.0155487614376248e+18,WETH,1317.7239315982342,transfer,,,1.4149372908238488e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772424,0xe4593044a5a957aadcdf1dc2cfe11ba5894b2f1e25be67a4fa88e087988cf231,0x8f014e45a70e224c3eb6c2db8b77f72c5ee061e2,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0.0,442756,243788,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0xecba967d84fcf0405f6b32bc45f4d36bfdbb2e81,3.5e+18,WETH,1317.7239315982342,transfer,0xecba967d84fcf0405f6b32bc45f4d36bfdbb2e81,0x61eb53ee427ab4e007d78a9134aacb3101a2dc23,8.298829988961607e+20,FXS,5.676404914638446,transfer,0x61eb53ee427ab4e007d78a9134aacb3101a2dc23,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,3.5574537525580175e+18,WETH,1317.7239315982342,transfer,,,5.228291482779595e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772439,0xd20ddbd544d3df3fca6603f2a16b9b328be6f11de117807e413abaf351c660dc,0x8f014e45a70e224c3eb6c2db8b77f72c5ee061e2,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0.0,395986,187353,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0x18a797c7c70c1bf22fdee1c09062aba709cacf04,2e+18,WETH,1317.7239315982342,transfer,0x18a797c7c70c1bf22fdee1c09062aba709cacf04,0xdc2b82bc1106c9c5286e59344896fb0ceb932f53,7.226858051988826e+20,RGT,3.096391876327763,transfer,0xdc2b82bc1106c9c5286e59344896fb0ceb932f53,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,2.0253563028567393e+18,WETH,1317.7239315982342,transfer,,,2.307423559963278e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772477,0x3209aafba2d48d1315f33698f0e09efdea67e9cd890262c3ddf03e81219fd0a9,0x09cd9a364bafec502918b47e889a806ac5083e05,0x4d0e39b51377475243e5526f964c5d30be17935c,0.0,1400000,149287,0x09cd9a364bafec502918b47e889a806ac5083e05,0x4d0e39b51377475243e5526f964c5d30be17935c,5.53298314531758e+18,SUSHI,10.827416596603669,transfer,0x09cd9a364bafec502918b47e889a806ac5083e05,0x4d0e39b51377475243e5526f964c5d30be17935c,1.157920892373162e+77,SUSHI,10.827416596603669,approve,0x4d0e39b51377475243e5526f964c5d30be17935c,0xce84867c3c02b05dc570d0135103d3fb9cc19433,5.53298314531758e+18,SUSHI,10.827416596603669,transfer,0x4d0e39b51377475243e5526f964c5d30be17935c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3.402823669209385e+38,SUSHI,10.827416596603669,approve,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5.227886168482492e+16,WETH,1317.7239315982342,transfer,,,5.227886168482492e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772563,0x2ee595f5961a14cb28da512d5dc4bad6befc08c3783d652345dfecdfccc3beeb,0x09cd9a364bafec502918b47e889a806ac5083e05,0x4d0e39b51377475243e5526f964c5d30be17935c,0.0,1400000,149287,0x09cd9a364bafec502918b47e889a806ac5083e05,0x4d0e39b51377475243e5526f964c5d30be17935c,6.347480560698827e+18,SUSHI,10.827416596603669,transfer,0x09cd9a364bafec502918b47e889a806ac5083e05,0x4d0e39b51377475243e5526f964c5d30be17935c,1.157920892373162e+77,SUSHI,10.827416596603669,approve,0x4d0e39b51377475243e5526f964c5d30be17935c,0xce84867c3c02b05dc570d0135103d3fb9cc19433,6.347480560698827e+18,SUSHI,10.827416596603669,transfer,0x4d0e39b51377475243e5526f964c5d30be17935c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3.402823669209385e+38,SUSHI,10.827416596603669,approve,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,6.004305519726256e+16,WETH,1317.7239315982342,transfer,,,6.004305519726256e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772592,0x71d96c97c8091eceec365bd8b624f0ab73f98d268ac87cf541c89a1fa78aa9a8,0x8f014e45a70e224c3eb6c2db8b77f72c5ee061e2,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0.0,610836,294778,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0x7b890092f81b337ed68fba266afc7b4c3710a55b,1.5e+18,WETH,1317.7239315982342,transfer,0x7b890092f81b337ed68fba266afc7b4c3710a55b,0x31d64f9403e82243e71c2af9d8f56c7dbe10c178,2.3130310410477527e+19,NFTX,94.65387842406508,transfer,0x31d64f9403e82243e71c2af9d8f56c7dbe10c178,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,1.5178607958699525e+18,WETH,1317.7239315982342,transfer,,,1.62533242416569e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772630,0xa8d71c2e616755ab740a7715a89db0cc25c9fb38f582d784f55241c23f21493f,0xeca2e2d894d19778939bd4dfc34d2a3c45e96456,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.0,400000,82518,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xd3d2e2692501a5c9ca623199d38826e513033a17,6.628e+21,UNI,18.25712693426105,transfer,0xd3d2e2692501a5c9ca623199d38826e513033a17,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,1.0022077297903752e+20,WETH,1317.7239315982342,transfer,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0x0000000000000000000000000000000000000000,3.0,CHI,3.1285348852645947,transfer,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11772754,0x74e344a622f85b6f59b82ca740dafed60d9d514e2de4d08c817a592c0c086a15,0x8f014e45a70e224c3eb6c2db8b77f72c5ee061e2,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0.0,377254,177987,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,0xc76225124f3caab07f609b1d147a31de43926cd6,5e+18,WETH,1317.7239315982342,transfer,0xc76225124f3caab07f609b1d147a31de43926cd6,0x23a9292830fc80db7f563edb28d2fe6fb47f8624,5.648191952302735e+18,SFI,921.2978577071304,transfer,0x23a9292830fc80db7f563edb28d2fe6fb47f8624,0x25b69cfa68d6351f0cc19626680b3f399fa7ce50,5.019001455695261e+18,WETH,1317.7239315982342,transfer,,,1.729132468268726e+16,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11773028,0x46a601c9ecbc70fd7463ee3e11f837ba0c350c5d633b10ef034376f305e9593e,0x33a330a68d824bf56c7dbc42d4cd827368441321,0xc35d77d25d81be78ad60ce14fea7c92d438782e3,0.0,375912,177316,0xc35d77d25d81be78ad60ce14fea7c92d438782e3,0x29a9777da2bacd8c4a28b6fd8247c4ca4f098f12,1e+18,WETH,1317.7239315982342,transfer,0x29a9777da2bacd8c4a28b6fd8247c4ca4f098f12,0xa7f11e026a0af768d285360a855f2bded3047530,8.860745381370801e+19,IDLE,13.805496972380693,transfer,0xa7f11e026a0af768d285360a855f2bded3047530,0xc35d77d25d81be78ad60ce14fea7c92d438782e3,1.0144158983171092e+18,WETH,1317.7239315982342,transfer,,,9370333906121028.0,WETH,1317.7239315982342,burn,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
11773122,0xea448505cd4b3ee22add0b7902681a4055152a1bc93b8e8f6089034e99d140b7,0x36a454aef52938c8637cd4689b2980c1cfd43389,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0.0,400000,82446,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xd3d2e2692501a5c9ca623199d38826e513033a17,3.1962285126813436e+21,UNI,18.25712693426105,transfer,0xd3d2e2692501a5c9ca623199d38826e513033a17,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,4.6657433340892406e+19,WETH,1317.7239315982342,transfer,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0x0000000000000000000000000000000000000000,3.0,CHI,3.1285348852645947,transfer,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,
