Date,Content
2021-04-29 4:15,"Miner payment: 0.3707 ETH (1,952 GWEI @ 189,870 gas [1])
0xa57B..d6CF
https://etherscan.io/tx/0x677309f0a85fb78d3aeb7a800328b1322dcbc3ba0535c42271c933fa4cdbf63b
Miner: f2pool"
2021-04-29 4:15,"Miner payment: 0.0429 ETH (159 GWEI @ 268,889 gas [1])
0x1c07..a4c3
https://etherscan.io/tx/0x1ea33eb4d4cc0ed25f412b94203147b22e59f74bf968e512d2c44584886b045e
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-29 4:16,"Miner payment: 0.0386 ETH (146 GWEI @ 264,019 gas [2])
0x0000..eC9B
https://etherscan.io/tx/0x2ab85f57feb06612a90108bb8f83460ec5ab1d7fcd2bde92d99e205a5b106447
Miner: Sparkpool"
2021-04-29 4:16,"Miner payment: 0.1823 ETH (598 GWEI @ 304,886 gas [3])
0x5990..d6F6
https://etherscan.io/tx/0x4e6a24b97123f41cf60eaa6f995f3f022f177c6ec54c44b2c37842e1f450a634
Miner: Sparkpool"
2021-04-29 4:16,"Miner payment: 0.0837 ETH (223 GWEI @ 375,359 gas [3])
0x051e..D278
https://etherscan.io/tx/0xfa0def1f8741f5376e01023444ad506654c5338470b9a67f69d7267e86c657e3
Miner: Sparkpool"
2021-04-29 4:16,"Miner payment: 0.0507 ETH (188 GWEI @ 269,924 gas [2])
0x8E0F..6a79
https://etherscan.io/tx/0xadd523b7ddd9b7313d393ab3a4c15e0f486e760b1587c8c31079c6b77feaf84a
Miner: Sparkpool"
2021-04-29 4:16,"Miner payment: 0.0374 ETH (75 GWEI @ 499,116 gas [3])
0x0000..eC9B
https://etherscan.io/tx/0x572239124bfcd19bfbe7915b068c04c9f0af14edc7db4a788cfb8c9fbab394ef
Miner: 0x005e288D713a5fB3d7c9cf1B43810A98688C7223"
2021-04-29 4:16,"Miner payment: 0.0881 ETH (164 GWEI @ 535,987 gas [4])
0xa57B..d6CF
https://etherscan.io/tx/0xea9d153855b527923ef4ba18e81d0c12a88302415768b3b3e0400bc38cb980b3
Miner: f2pool"
2021-04-29 4:17,"Miner payment: 0.0243 ETH (84 GWEI @ 288,581 gas [3])
0x5990..d6F6
https://etherscan.io/tx/0xfb7f6a3276a19ddcd147085e57a68a2a2c7e2318ea6058578f34b5ed4f64746b
Miner: UUPool"
2021-04-29 4:18,"Miner payment: 0.3673 ETH (1,014 GWEI @ 362,219 gas [3])
0x5990..d6F6
https://etherscan.io/tx/0x235ea4ba72d76f2fbcc4eb3446c54d2f1898f9e714654d98e18b2fbfefb3e7e4
Miner: f2pool"
2021-04-29 4:18,"Miner payment: 0.0701 ETH (109 GWEI @ 639,304 gas [6])
0xa57B..d6CF
https://etherscan.io/tx/0x2da8c18c74b951eeb7e020fbae6321bf98070a48533a7941bf4351248e09e214
Miner: BabelPool"
2021-04-29 4:19,"Miner payment: 0.0663 ETH (217 GWEI @ 304,886 gas [3])
0x5990..d6F6
https://etherscan.io/tx/0x7d9e3032c48d6b221058fcc06a45c5252d2791b8a6d24d687bc145367e48e7b3
Miner: Sparkpool"
2021-04-29 4:20,"Miner payment: 0.2165 ETH (720 GWEI @ 300,402 gas [3])
0xf875..994B
https://etherscan.io/tx/0x072a9a5d16525f406bd92eec1c9935f4da2e5774545b00ede44b59e940945f44
Miner: BabelPool"
2021-04-29 4:20,"Miner payment: 0.3547 ETH (1,491 GWEI @ 237,832 gas [3])
0xf875..994B
https://etherscan.io/tx/0xd62f914479d535fa9f13c1e1de753c56d3a65897f376c3840e02aa5d6542ffed
Miner: Sparkpool"
2021-04-29 4:21,"Miner payment: 0.0681 ETH (209 GWEI @ 324,538 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xc218ba35ef376ce517f2814092ee5a32ae3de84563bcfee890357bb5a2cc1810
Miner: Sparkpool"
2021-04-29 4:21,"Miner payment: 0.0105 ETH (119 GWEI @ 88,630 gas [1])
0xa57B..d6CF
https://etherscan.io/tx/0xc4e80905a517cdc8d369597bcfa5828e224061162b1cf0b5755347c903b0ffbf
Miner: Sparkpool"
2021-04-29 4:22,"Miner payment: 0.2862 ETH (870 GWEI @ 328,686 gas [3])
0xf875..994B
https://etherscan.io/tx/0x760b24480c9287998b299e7f64256c566e9814fd30a9cdb7ffe50fcc491a0bea
Miner: BeePool"
2021-04-29 4:22,"Miner payment: 0.4222 ETH (1,190 GWEI @ 354,628 gas [3])
0xD59e..FA97
https://etherscan.io/tx/0x69b37d73d8091de822319c9fc486932d44861db9f335f03c4ef42d9b25d34339
Miner: f2pool"
