Date,Content
2021-04-08 4:10,"Miner payment: 0.0554 ETH (183 GWEI @ 302,943 gas [3])
0x2222..2222
https://etherscan.io/tx/0xe6302c948f656d45d8c5def28136d341629ea028d716ba593fc559b2a2419f30
Miner: 0xB3b7874F13387D44a3398D298B075B7A3505D8d4"
2021-04-08 4:10,"Miner payment: 0.2269 ETH (529 GWEI @ 428,603 gas [3])
0x0000..bf8c
https://etherscan.io/tx/0xc386d2d700e051c1071b63e0b8fea74186d4ae0e8db3f99bc93de960b978df39
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:10,"Miner payment: 0.074 ETH (278 GWEI @ 265,824 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xbc4f6bb7830e376666011559bdd1c1986b6d9fd7af9009433512318c82c5dd77
Miner: Sparkpool"
2021-04-08 4:10,"Miner payment: 0.1426 ETH (330 GWEI @ 431,649 gas [3])
0x0000..9241
https://etherscan.io/tx/0xd73d4177727e4765de93d0477a2d5f66884fef5d964ae5dc21a4f20f41836ee6
Miner: 0xB3b7874F13387D44a3398D298B075B7A3505D8d4"
2021-04-08 4:11,"Miner payment: 0.0941 ETH (388 GWEI @ 242,456 gas [3])
0x2222..2222
https://etherscan.io/tx/0xb1aed2c1ede0455e0410ceef2b966fcdf036116a4963e707c20bf567cf009c8e
Miner: Sparkpool"
2021-04-08 4:11,"Miner payment: 0.4142 ETH (1,774 GWEI @ 233,495 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xe5d399a01c715147a2e78d7b97c4a7e97d23c5b8b725b1e9ce36e78c037d9b37
Miner: Sparkpool"
2021-04-08 4:14,"Miner payment: 0.1906 ETH (788 GWEI @ 241,645 gas [3])
0x2222..2222
https://etherscan.io/tx/0x8fe32881aa497786db340934d8dbaaccd55903291e12deacf2ef7140f55325cd
Miner: Sparkpool"
2021-04-08 4:15,"Miner payment: 0.0738 ETH (195 GWEI @ 377,938 gas [2])
0xaE9e..1a5D
https://etherscan.io/tx/0xd52baf2a5c0f47b449c0f8a62f4f902cf5498d316525f504cba6a3a879151952
Miner: f2pool"
2021-04-08 4:15,"Miner payment: 0.8781 ETH (1,886 GWEI @ 465,458 gas [3])
0xb10E..c4A5
https://etherscan.io/tx/0x2bb255c7f95e9ac0790f8103b51a83042c63770b569005b53c40a20cd4c5bd60
Miner: f2pool"
2021-04-08 4:15,"Miner payment: 0.285 ETH (1,235 GWEI @ 230,672 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xe516b51582de406f7952a0cf071c22d8d8cf90b82f52487464c9a1eca0f5d3ce
Miner: f2pool"
2021-04-08 4:16,"Miner payment: 0.0658 ETH (314 GWEI @ 209,232 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0xde38f38729cc8c16385c82dc2cfab3a2166ec966f6790ccb0dcce369583c4def
Miner: f2pool"
2021-04-08 4:16,"Miner payment: 0.1002 ETH (250 GWEI @ 399,353 gas [3])
0xFA2e..0459
https://etherscan.io/tx/0x4c8301dc5a72021f70f26ea5d252b67fc0060ed045f658c9f19eb91065e32881
Miner: BeePool"
