Date,Content
2021-04-19 16:38,"Miner payment: 0.1465 ETH (563 GWEI @ 260,308 gas [3])
0x0202..0202
https://etherscan.io/tx/0x4ccb1e419beb3f9461b95c62187e067acb54a39423aa1207691f2d935f2fcfb9
Miner: HiveOn"
2021-04-19 16:38,"Miner payment: 0.3784 ETH (981 GWEI @ 385,678 gas [3])
0xc840..0343
https://etherscan.io/tx/0xfbb28990c78214cbd182d61abcc7d0cd693803bf83996a353eb6834e729a5480
Miner: 0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8"
2021-04-19 16:39,"Miner payment: 0.5489 ETH (2,151 GWEI @ 255,160 gas [3])
0x0000..0084
https://etherscan.io/tx/0x92919c30a441cad7d43666139f0fc75d90bc39734fc8e28194837295dba955d0
Miner: f2pool"
2021-04-19 16:39,"Miner payment: 0.1934 ETH (745 GWEI @ 259,577 gas [3])
0x0202..0202
https://etherscan.io/tx/0xf4ddf9d511032bb4c8c12497a5794154bcc37d1c3350d5de6cda80a4b582f614
Miner: BabelPool"
2021-04-19 16:40,"Miner payment: 0.2986 ETH (1,058 GWEI @ 282,090 gas [3])
0x0000..0084
https://etherscan.io/tx/0x4783ef058665d905904f0f5d6d9d1e00e028d6b4e4f7173b0b0f86bc06f09a75
Miner: Sparkpool"
2021-04-19 16:42,"Miner payment: 0.3698 ETH (1,295 GWEI @ 285,452 gas [3])
0x0000..0084
https://etherscan.io/tx/0xab8e349fe7a431500aea6a416afe3da602b91b40539255389b2361cd397fe0e6
Miner: UUPool"
2021-04-19 16:42,"Miner payment: 0.7517 ETH (2,680 GWEI @ 280,385 gas [3])
0x0000..0084
https://etherscan.io/tx/0xdf5340d9177986d748974406f0e6e4a5778695fc260f3fd5626176f1bca1a501
Miner: BeePool"
2021-04-19 16:44,"Miner payment: 0.0626 ETH (300 GWEI @ 208,569 gas [2])
0xb95B..Bc6E
https://etherscan.io/tx/0x16a825e443a88a28b017dae62b95c69e302cce0bddd1eff6ef07c48daca7e724
Miner: HiveOn"
2021-04-19 16:44,"Miner payment: 0.1894 ETH (905 GWEI @ 209,324 gas [3])
0x0000..0084
https://etherscan.io/tx/0x5da5e965aacc3bba08f2bfbb1ca3b070ec07afd51d2b83b7376afc826c4f321a
Miner: Sparkpool"
2021-04-19 16:44,"Miner payment: 0.1629 ETH (288 GWEI @ 565,691 gas [3])
0x4d3e..333f
https://etherscan.io/tx/0x9e18923df8f0e8ba04122097d0b1a98fbd1f53aced8fd1f6c301eb80c7b19e8c
Miner: Sparkpool"
2021-04-19 16:45,"Miner payment: 0.3551 ETH (1,386 GWEI @ 256,154 gas [3])
0x0000..0084
https://etherscan.io/tx/0xdf7f36207dc983278c54725f8b4b1257aa6f621422ca24a451a3878387969a69
Miner: Sparkpool"
2021-04-19 16:47,"Miner payment: 0.2328 ETH (1,031 GWEI @ 225,775 gas [3])
0x83f8..c77e
https://etherscan.io/tx/0x3c28c567c6c26c4bef20a2e64c2b1fc6864576ecbb2898c2f89e7a1abf655441
Miner: Sparkpool"
2021-04-19 16:48,"Miner payment: 0.0875 ETH (232 GWEI @ 376,800 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0x71c715a2846b92f259fd85503a94b943ca6925ba2596bc517bbdef44ec737208
Miner: Sparkpool"
2021-04-19 16:49,"Miner payment: 0.0963 ETH (374 GWEI @ 257,395 gas [2])
0x73FE..F804
https://etherscan.io/tx/0x499e833c0da4775a28f98e1ad3de2e4e05b9d449e8683bd44db4d16b01a3b5a6
Miner: SpiderPool"
2021-04-19 16:50,"Miner payment: 0.3523 ETH (1,294 GWEI @ 272,272 gas [3])
0x0000..0084
https://etherscan.io/tx/0x51d254852e0d7a3fac6050dab9697374ccc713d6581d6c47403bb69e2d08697d
Miner: BabelPool"
2021-04-19 16:51,"Miner payment: 0.1671 ETH (589 GWEI @ 283,576 gas [3])
0x0000..6880
https://etherscan.io/tx/0x40b888ef6584c3ad865050009f19078a2c3c19f1d81f1c1a8523213fe624329e
Miner: BeePool"
2021-04-19 16:52,"Miner payment: 0.5808 ETH (1,868 GWEI @ 310,903 gas [4])
0x3666..C273
https://etherscan.io/tx/0x3d4e0effde0b40a02d74210a2d672af903a5334897e2341445463b27591ea4d2
Miner: Sparkpool"
2021-04-19 16:52,"Miner payment: 0.0973 ETH (419 GWEI @ 231,854 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xc794996fb7ff78e4b873684a7b047e55b547643739b23f89f4a2235b795c7338
Miner: Sparkpool"
2021-04-19 16:54,"Miner payment: 0.1331 ETH (521 GWEI @ 255,172 gas [3])
0x0000..0084
https://etherscan.io/tx/0x4441f1b1aec9ae03c70340a494d32487917bbbd3755246ed49bb8c5a1b4ef209
Miner: BabelPool"
2021-04-19 16:54,"Miner payment: 0.0806 ETH (224 GWEI @ 359,721 gas [3])
0x0000..eC9B
https://etherscan.io/tx/0x623bba323a585c0edb73ba3db36d6224bbb94c31de3f972ad5785ea8e56e6c06
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-19 16:54,"Miner payment: 0.9667 ETH (3,313 GWEI @ 291,774 gas [3])
0x83f8..c77e
https://etherscan.io/tx/0xe0bb751c84367748012537dbbb2a1e782a9d0f1a29cfa08af66ea32fcf5c13a2
Miner: Sparkpool"
2021-04-19 16:55,"Miner payment: 0.2219 ETH (852 GWEI @ 260,374 gas [3])
0x0202..0202
https://etherscan.io/tx/0x3603136e3ed0ad314439d05c8a86486241491ea3585ba9455f02cf56a4e79d56
Miner: FlexPool"
2021-04-19 16:57,"Miner payment: 0.215 ETH (705 GWEI @ 305,000 gas [3])
0x83f8..c77e
https://etherscan.io/tx/0xb51977e08c4e43b9b738ee27b5fcbdb0a6c5e6bdf9f998c55eeb84390f9770f8
Miner: UUPool"
2021-04-19 16:58,"Miner payment: 0.1077 ETH (320 GWEI @ 335,901 gas [3])
0x0000..6880
https://etherscan.io/tx/0xa4a105047a6a53d08942889f614b17f186d7c42efeeafc7cdb19c6f35952ae2a
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-19 16:59,"Miner payment: 0.5637 ETH (1,237 GWEI @ 455,675 gas [3])
0x0000..0084
https://etherscan.io/tx/0xabb36eca19c792d32b84199df2ef0102bbd7af42c8ee5d2d550e510fccd67f89
Miner: Sparkpool"
2021-04-19 17:00,"Miner payment: 0.0215 ETH (68 GWEI @ 317,232 gas [3])
0xc840..0343
https://etherscan.io/tx/0x0a4e0c7cf118902baa03a17cea58b6edc7388d950abb9b824aadbfa0231cf946
Miner: 0x002e08000acbbaE2155Fab7AC01929564949070d"
2021-04-19 17:01,"Miner payment: 0.1836 ETH (540 GWEI @ 339,705 gas [3])
0x83bc..62a6
https://etherscan.io/tx/0x684666c0042972452db005394e93d053c0fcd3cf96ba5d4edda03dccd25de191
Miner: Sparkpool"
2021-04-19 17:01,"Miner payment: 0.1459 ETH (513 GWEI @ 284,040 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0x184d720306d3e391d25f28ee9967e81070b4c2f6e8c6eaab09234eadde42b358
Miner: Sparkpool"
2021-04-19 17:03,"Miner payment: 0.2394 ETH (1,032 GWEI @ 231,858 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0x2b0731309fafccfa04bcf528a3e9412c15d18925331a5373d96b1afb0dbc2c72
Miner: SpiderPool"
2021-04-19 17:03,"Miner payment: 2.053 ETH (9,057 GWEI @ 226,669 gas [3])
0x0000..0084
https://etherscan.io/tx/0xdad3c7f11883e9db348c6a321eaabb7b4a3f09ea81499de706d609245420fff4
Miner: Sparkpool"
2021-04-19 17:03,"Miner payment: 0.2062 ETH (622 GWEI @ 331,264 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xcdd1c8cc27fddd7539b6f41e93b2d6e4ccff229e442a40aa8e82a638f24701cf
Miner: BabelPool"
2021-04-19 17:04,"Miner payment: 0.1591 ETH (561 GWEI @ 283,338 gas [3])
0x0000..0084
https://etherscan.io/tx/0xbb08368bdb2a4714e9e4070c73cb03fa4781bc3c234348b465938b1f3452605b
Miner: f2pool"
2021-04-19 17:05,"Miner payment: 0.1565 ETH (715 GWEI @ 218,747 gas [3])
0x0000..0084
https://etherscan.io/tx/0x9f43478a05dcbc723f29b84721365dcecf950469c5b884aa6421f0995d76a3a1
Miner: BabelPool"
2021-04-19 17:05,"Miner payment: 0.1626 ETH (571 GWEI @ 284,752 gas [2])
0xb95B..Bc6E
https://etherscan.io/tx/0x70ee0b19e54adf54271b7459319015992a716006808e00ec9008156455d36644
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-19 17:05,"Miner payment: 0.1546 ETH (493 GWEI @ 313,568 gas [3])
0x83f8..c77e
https://etherscan.io/tx/0xb1d45534a3e261cbdee2fa2e29ce7150db70cd9790bdd8f11562d0f0c8d38d5b
Miner: Sparkpool"
